Plot_ID,Row,ID,Raceme_ID,No_Floral_Units,Plant_Species,Subplot_Type,Volume_Absolute,Concentration_Absolute,Concentration_AverageBlanks,Sugar_Absolute
13,2,554,295,6,Onobrychis,Control,0.09375,0.170093232,0.170093232,0.015946241
12,2,635,336,6,Onobrychis,Control,0.0234375,0.645270444,0.645270444,0.015123526
14,2,28,12,2,Onobrychis,Drought,0.03125,NA,0.4623,0.014446875
12,2,638,337,3,Onobrychis,Roofed,0.03125,0.44999366,0.44999366,0.014062302
9,2,180,92,5,Prunella,Control,0.03125,NA,0.4099,0.012809375
9,2,674,357,5,Prunella,Drought,0.03125,NA,0.4099,0.012809375
9,2,676,358,1,Prunella,Control,0.03125,NA,0.4099,0.012809375
12,2,19,8,1,Onobrychis,Control,0.0625,0.192915234,0.192915234,0.012057202
12,2,636,336,6,Onobrychis,Control,0.015625,0.645270444,0.645270444,0.010082351
14,2,641,338,3,Onobrychis,Drought,0.015625,NA,0.4623,0.007223438
14,2,642,338,3,Onobrychis,Drought,0.015625,NA,0.4623,0.007223438
12,2,688,366,2,Onobrychis,Roofed,0.03125,0.181457864,0.181457864,0.005670558
3,1,273,144,2,Lathyrus,Control,8.28125,0.38971701,0.38971701,3.227343989
7,1,442,231,1,Lathyrus,Roofed,3.75,0.562999448,0.562999448,2.111247928
3,1,663,351,2,Lathyrus,Roofed,4.21875,0.49147371,0.49147371,2.073404714
3,1,662,351,2,Lathyrus,Roofed,2.96875,0.562999448,0.562999448,1.67140461
6,1,855,438,4,Lathyrus,Drought,2.34375,0.645270444,0.645270444,1.512352603
3,1,272,144,2,Lathyrus,Control,4.21875,0.350786142,0.350786142,1.479879037
7,1,394,206,6,Lathyrus,Control,2.5,0.562999448,0.562999448,1.407498619
6,1,854,438,4,Lathyrus,Drought,2.03125,0.592471975,0.592471975,1.203458698
7,1,390,205,5,Lathyrus,Roofed,1.71875,0.69179319,0.69179319,1.189019545
3,1,844,434,4,Lathyrus,Roofed,2.34375,0.45683391,0.45683391,1.070704477
6,1,439,228,3,Lathyrus,Control,4.6875,0.227854452,0.227854452,1.068067744
3,1,887,453,2,Lathyrus,Roofed,1.875,0.548450084,0.548450084,1.028343908
1,1,371,196,3,Lathyrus,Drought,2.96875,0.33802599,0.33802599,1.003514658
6,1,438,228,3,Lathyrus,Control,5,0.175764023,0.175764023,0.878820113
3,1,274,145,2,Lathyrus,Roofed,5.9375,0.14763791,0.14763791,0.876600091
3,1,841,433,4,Lathyrus,Roofed,1.71875,0.363653984,0.363653984,0.625030285
6,1,857,439,8,Lathyrus,Control,1.875,0.32537246,0.32537246,0.610073363
3,1,845,434,4,Lathyrus,Roofed,2.34375,0.251630534,0.251630534,0.589759064
1,1,374,197,7,Lathyrus,Control,2.03125,0.288040922,0.288040922,0.585083123
6,1,853,438,4,Lathyrus,Drought,1.5625,0.357206535,0.357206535,0.558135211
6,1,440,228,3,Lathyrus,Control,2.1875,0.251630534,0.251630534,0.550441793
6,1,384,202,3,Lathyrus,Roofed,2.03125,0.26366676,0.26366676,0.535573106
6,1,387,203,3,Lathyrus,Roofed,1.5625,0.319085345,0.319085345,0.498570851
6,1,385,202,3,Lathyrus,Roofed,1.71875,0.269722387,0.269722387,0.463585352
1,1,376,197,7,Lathyrus,Control,0.9375,0.45683391,0.45683391,0.428281791
3,1,888,453,2,Lathyrus,Roofed,1.5625,0.26366676,0.26366676,0.411979313
1,1,375,197,7,Lathyrus,Control,0.9375,0.416223612,0.416223612,0.390209636
7,1,392,205,5,Lathyrus,Roofed,0.78125,0.484486832,0.484486832,0.378505338
7,1,391,205,5,Lathyrus,Roofed,0.46875,0.69179319,0.69179319,0.324278058
7,1,443,232,1,Prunella,Control,0.625,0.484486832,0.484486832,0.30280427
6,1,386,203,3,Lathyrus,Roofed,0.859375,0.319085345,0.319085345,0.274213968
3,1,843,433,4,Lathyrus,Roofed,0.78125,0.350786142,0.350786142,0.274051673
6,1,286,150,7,Prunella,Drought,0.375,0.69179319,0.69179319,0.259422446
1,1,262,137,4,Prunella,Drought,0.78125,0.312824484,0.312824484,0.244394128
6,1,856,439,8,Lathyrus,Control,0.78125,0.294198098,0.294198098,0.229842264
3,1,120,53,3,Prunella,Roofed,0.359375,0.61490765,0.61490765,0.220982437
1,1,263,137,4,Prunella,Drought,0.859375,0.251630534,0.251630534,0.21624499
6,1,130,57,1,Prunella,Roofed,0.34375,0.61490765,0.61490765,0.211374505
3,1,116,52,2,Prunella,Drought,0.3125,0.61490765,0.61490765,0.192158641
2,1,795,413,6,Onobrychis,Control,0.5,0.376630584,0.376630584,0.188315292
7,1,395,206,6,Lathyrus,Control,0.3125,0.592471975,0.592471975,0.185147492
3,1,118,53,3,Prunella,Roofed,0.34375,0.519719817,0.519719817,0.178653687
6,1,859,440,2,Lathyrus,Roofed,0.625,0.281909334,0.281909334,0.176193334
6,1,388,203,3,Lathyrus,Roofed,0.46875,NA,0.3729,0.174796875
