Row,Plot_ID,FG,FG_Diversity,Date_Surveyed,Subplot_Type,SubplotID,Survey_Number,SurveyID,TaxonomicID,Pollinator_Species_Code,Plant_Species,No_Visits
4,25,2,1,21-Jul-16,R,25.R,2,25.R.2,Thysanoptera,Thrip,Crepis_capillaris,1
4,26,123,3,21-Jul-16,C,26.C,2,26.C.2,Calliphoridae,Calliphoridae,Daucus_carota,1
4,26,123,3,18-Jul-16,R,26.R,1,26.R.1,Diptera,Diptera_minute,Galium_verum,2
4,26,123,3,21-Jul-16,R,26.R,2,26.R.2,Eristalis_spp,Eristalis,Daucus_carota,2
4,26,123,3,18-Jul-16,D,26.D,1,26.D.1,Hemiptera,Heteroptera,Crepis_capillaris,1
4,26,123,3,18-Jul-16,D,26.D,1,26.D.1,Nitidulidae,Pollen_Beetle,Crepis_capillaris,3
4,26,123,3,21-Jul-16,D,26.D,2,26.D.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,4
4,26,123,3,18-Jul-16,D,26.D,1,26.D.1,Apoidea,SolBee_small,Onobrychis_viciifolia,1
4,26,123,3,18-Jul-16,C,26.C,1,26.C.1,Syrphidae,Syrphid_small,Galium_mollugo,5
4,26,123,3,18-Jul-16,C,26.C,1,26.C.1,Syrphidae,Syrphid_small,Leucanthemum_vulgare,1
4,26,123,3,18-Jul-16,C,26.C,1,26.C.1,Syrphidae,Syrphid_small,Trifolium_pratense,1
4,26,123,3,18-Jul-16,D,26.D,1,26.D.1,Syrphidae,Syrphid_small,Crepis_capillaris,1
4,26,123,3,18-Jul-16,D,26.D,1,26.D.1,Syrphidae,Syrphid_small,Onobrychis_viciifolia,1
4,26,123,3,21-Jul-16,D,26.D,2,26.D.2,Syrphidae,Syrphid_small_yb,Daucus_carota,3
4,27,13,2,18-Jul-16,C,27.C,1,27.C.1,Diptera,Diptera_med,Prunella_vulgaris,1
4,27,13,2,21-Jul-16,C,27.C,2,27.C.2,Diptera,Diptera_med,Leontodon_hispidus,1
4,27,13,2,21-Jul-16,C,27.C,2,27.C.2,Eristalis_spp,Eristalis,Daucus_carota,1
4,27,13,2,21-Jul-16,C,27.C,2,27.C.2,Hemiptera,Heteroptera_med,Leontodon_hispidus,2
4,27,13,2,18-Jul-16,C,27.C,1,27.C.1,Hemiptera,Heteroptera_small,Lotus_corniculatus,1
4,27,13,2,18-Jul-16,C,27.C,1,27.C.1,Nitidulidae,Pollen_Beetle,Leontodon_hispidus,1
4,27,13,2,21-Jul-16,C,27.C,2,27.C.2,Syrphidae,Syrphid_small_yb,Daucus_carota,1
4,27,13,2,21-Jul-16,C,27.C,2,27.C.2,Syrphidae,Syrphid_small_yb,Leucanthemum_vulgare,1
4,28,1,1,21-Jul-16,C,28.C,2,28.C.2,Bombus_lapidarius,Bombus_lap,Crepis_capillaris,2
4,28,1,1,21-Jul-16,D,28.D,2,28.D.2,Diptera,Diptera_med,Daucus_carota,2
4,28,1,1,21-Jul-16,C,28.C,2,28.C.2,Eristalis_spp,Eristalis,Daucus_carota,1
4,28,1,1,21-Jul-16,D,28.D,2,28.D.2,Eristalis_spp,Eristalis,Daucus_carota,11
4,28,1,1,21-Jul-16,R,28.R,2,28.R.2,Eristalis_spp,Eristalis,Daucus_carota,1
4,28,1,1,21-Jul-16,C,28.C,2,28.C.2,Hemiptera,Heteroptera_med,Crepis_capillaris,1
4,28,1,1,18-Jul-16,R,28.R,1,28.R.1,Oedemera_nobilis,Oedemera_nobilis,Daucus_carota,1
4,28,1,1,21-Jul-16,D,28.D,2,28.D.2,Parasitica,Parastic_Wasp_minute,Daucus_carota,1
4,28,1,1,21-Jul-16,R,28.R,2,28.R.2,Parasitica,Parastic_Wasp_minute,Daucus_carota,2
4,28,1,1,18-Jul-16,C,28.C,1,28.C.1,Nitidulidae,Pollen_Beetle,Crepis_capillaris,9
4,28,1,1,18-Jul-16,D,28.D,1,28.D.1,Nitidulidae,Pollen_Beetle,Crepis_capillaris,2
4,28,1,1,18-Jul-16,R,28.R,1,28.R.1,Nitidulidae,Pollen_Beetle,Crepis_capillaris,2
4,28,1,1,21-Jul-16,C,28.C,2,28.C.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,10
4,28,1,1,21-Jul-16,D,28.D,2,28.D.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,1
4,28,1,1,21-Jul-16,R,28.R,2,28.R.2,Nitidulidae,Pollen_Beetle,Crepis_capillaris,2
4,28,1,1,21-Jul-16,R,28.R,2,28.R.2,Nitidulidae,Pollen_Beetle,Leontodon_hispidus,1
4,28,1,1,18-Jul-16,C,28.C,1,28.C.1,Syrphidae,Syrphid_med,Crepis_capillaris,1
4,28,1,1,21-Jul-16,D,28.D,2,28.D.2,Syrphidae,Syrphid_med_yb,Crepis_capillaris,1
4,28,1,1,21-Jul-16,R,28.R,2,28.R.2,Syrphidae,Syrphid_med_yb,Crepis_capillaris,1
4,28,1,1,18-Jul-16,C,28.C,1,28.C.1,Syrphidae,Syrphid_small_metallic,Crepis_capillaris,5
4,28,1,1,21-Jul-16,D,28.D,2,28.D.2,Syrphidae,Syrphid_small_yb,Daucus_carota,1
4,28,1,1,21-Jul-16,R,28.R,2,28.R.2,Syrphidae,Syrphid_small_yb,Daucus_carota,1
5,29,3,1,20-Jul-16,R,29.R,1,29.R.1,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,3
5,29,3,1,22-Jul-16,C,29.C,2,29.C.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,2
5,29,3,1,22-Jul-16,R,29.R,2,29.R.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,10
5,29,3,1,20-Jul-16,D,29.D,1,29.D.1,Diptera,Diptera_med,Leucanthemum_vulgare,1
5,29,3,1,22-Jul-16,R,29.R,2,29.R.2,Diptera,Diptera_med,Onobrychis_viciifolia,2
5,29,3,1,22-Jul-16,C,29.C,2,29.C.2,Parasitica,Parastic_Wasp_minute,Galium_mollugo,3
5,29,3,1,20-Jul-16,D,29.D,1,29.D.1,Nitidulidae,Pollen_Beetle,Onobrychis_viciifolia,1
5,29,3,1,22-Jul-16,D,29.D,2,29.D.2,Syrphidae,Syrphid_small_metallic,Leucanthemum_vulgare,1
5,30,123,3,22-Jul-16,C,30.C,2,30.C.2,Bombus_lapidarius,Bombus_lap,Onobrychis_viciifolia,1
5,30,123,3,22-Jul-16,R,30.R,2,30.R.2,Bombus_lapidarius,Bombus_lap,Scabiosa_columbaria,1
5,30,123,3,22-Jul-16,C,30.C,2,30.C.2,Diptera,Diptera_med,Leontodon_hispidus,3
5,30,123,3,20-Jul-16,C,30.C,1,30.C.1,Diptera,Diptera_small,Daucus_carota,1
5,30,123,3,22-Jul-16,R,30.R,2,30.R.2,Diptera,Diptera_small,Daucus_carota,1
5,30,123,3,22-Jul-16,R,30.R,2,30.R.2,Hemiptera,Heteroptera_lrg,Onobrychis_viciifolia,1
5,30,123,3,22-Jul-16,C,30.C,2,30.C.2,Hemiptera,Heteroptera_small,Leontodon_hispidus,1
5,30,123,3,22-Jul-16,R,30.R,2,30.R.2,Parasitica,Parastic_Wasp_minute,Daucus_carota,2
5,30,123,3,20-Jul-16,C,30.C,1,30.C.1,Nitidulidae,Pollen_Beetle,Crepis_capillaris,2
5,30,123,3,20-Jul-16,C,30.C,1,30.C.1,Nitidulidae,Pollen_Beetle,Leontodon_hispidus,3
5,30,123,3,20-Jul-16,C,30.C,1,30.C.1,Syrphidae,Syrphid_small,Daucus_carota,1
5,30,123,3,20-Jul-16,D,30.D,1,30.D.1,Syrphidae,Syrphid_small,Bellis_perennis,1
5,30,123,3,22-Jul-16,C,30.C,2,30.C.2,Syrphidae,Syrphid_small_yb,Daucus_carota,2
5,30,123,3,22-Jul-16,C,30.C,2,30.C.2,Syrphidae,Syrphid_small_yb,Leucanthemum_vulgare,1
5,30,123,3,22-Jul-16,D,30.D,2,30.D.2,Syrphidae,Syrphid_small_yb,Daucus_carota,1
5,31,1,1,20-Jul-16,D,31.D,1,31.D.1,Bombus_lapidarius,Bombus_lap,Scabiosa_columbaria,1
5,31,1,1,20-Jul-16,R,31.R,1,31.R.1,Bombus_lapidarius,Bombus_lap,Centurea_scabiosa,1
5,31,1,1,22-Jul-16,D,31.D,2,31.D.2,Cercopoidea,Cercopoidea,Daucus_carota,1
5,31,1,1,20-Jul-16,C,31.C,1,31.C.1,Diptera,Diptera_med,Crepis_capillaris,2
5,31,1,1,20-Jul-16,R,31.R,1,31.R.1,Diptera,Diptera_med,Daucus_carota,2
5,31,1,1,22-Jul-16,C,31.C,2,31.C.2,Diptera,Diptera_med,Leontodon_hispidus,1
5,31,1,1,22-Jul-16,R,31.R,2,31.R.2,Diptera,Diptera_med,Leontodon_hispidus,1
5,31,1,1,20-Jul-16,R,31.R,1,31.R.1,Diptera,Diptera_minute,Daucus_carota,2
5,31,1,1,22-Jul-16,C,31.C,2,31.C.2,Diptera,Diptera_minute,Daucus_carota,4
5,31,1,1,22-Jul-16,C,31.C,2,31.C.2,Eristalis_spp,Eristalis,Daucus_carota,4
5,31,1,1,22-Jul-16,D,31.D,2,31.D.2,Eristalis_spp,Eristalis,Daucus_carota,1
5,31,1,1,22-Jul-16,R,31.R,2,31.R.2,Eristalis_spp,Eristalis,Daucus_carota,2
5,31,1,1,20-Jul-16,C,31.C,1,31.C.1,Hemiptera,Heteroptera,Crepis_capillaris,1
5,31,1,1,22-Jul-16,D,31.D,2,31.D.2,Hemiptera,Heteroptera_med,Leontodon_hispidus,1
5,31,1,1,20-Jul-16,R,31.R,1,31.R.1,Parasitica,Parasitic_Wasp_lrg,Daucus_carota,2
5,31,1,1,22-Jul-16,D,31.D,2,31.D.2,Parasitica,Parastic_Wasp_minute,Daucus_carota,1
